repo,scanner,result,analysis_id,analysis_link
Imran407704/payloads,CAT-QuickHeal,HTML.IframeRef.C,MzAzYjc2YzE4YjU4YjI2NDJlNTgyNDc2OWI4NTRmYjI6MTcyMzY2Mzk1OA==,https://www.virustotal.com/gui/file/1c5c7318bc1e9e1d0cd2de58808602c2ba52920ba53cf291ada29a11db8a7f63
Imran407704/payloads,ClamAV,Win.Trojan.Agent-35594,MzAzYjc2YzE4YjU4YjI2NDJlNTgyNDc2OWI4NTRmYjI6MTcyMzY2Mzk1OA==,https://www.virustotal.com/gui/file/1c5c7318bc1e9e1d0cd2de58808602c2ba52920ba53cf291ada29a11db8a7f63
Imran407704/payloads,Baidu,JS.Trojan-Downloader.Iframe.ee,MzAzYjc2YzE4YjU4YjI2NDJlNTgyNDc2OWI4NTRmYjI6MTcyMzY2Mzk1OA==,https://www.virustotal.com/gui/file/1c5c7318bc1e9e1d0cd2de58808602c2ba52920ba53cf291ada29a11db8a7f63
Imran407704/payloads,Google,Detected,MzAzYjc2YzE4YjU4YjI2NDJlNTgyNDc2OWI4NTRmYjI6MTcyMzY2Mzk1OA==,https://www.virustotal.com/gui/file/1c5c7318bc1e9e1d0cd2de58808602c2ba52920ba53cf291ada29a11db8a7f63
lmillionzz/Adobe-Acrobat,Lionic,Hacktool.Win32.Generic.3!c,MDAyZjQxMGZlODRlYTg3NGE5YzI5YzJlNmRlMGM0ODY6MTcyMzY2OTEwMw==,https://www.virustotal.com/gui/file/0638621a9e3688ed8f740ac2e51db7095c224d4610e471bc39a52d4c3a343b86
lmillionzz/Adobe-Acrobat,FireEye,Application.Hacktool.ASP,MDAyZjQxMGZlODRlYTg3NGE5YzI5YzJlNmRlMGM0ODY6MTcyMzY2OTEwMw==,https://www.virustotal.com/gui/file/0638621a9e3688ed8f740ac2e51db7095c224d4610e471bc39a52d4c3a343b86
lmillionzz/Adobe-Acrobat,Skyhigh,Artemis!PUP,MDAyZjQxMGZlODRlYTg3NGE5YzI5YzJlNmRlMGM0ODY6MTcyMzY2OTEwMw==,https://www.virustotal.com/gui/file/0638621a9e3688ed8f740ac2e51db7095c224d4610e471bc39a52d4c3a343b86
lmillionzz/Adobe-Acrobat,ALYac,Application.Hacktool.ASP,MDAyZjQxMGZlODRlYTg3NGE5YzI5YzJlNmRlMGM0ODY6MTcyMzY2OTEwMw==,https://www.virustotal.com/gui/file/0638621a9e3688ed8f740ac2e51db7095c224d4610e471bc39a52d4c3a343b86
lmillionzz/Adobe-Acrobat,Sangfor,Hacktool.Asp.Agent.Vdiv,MDAyZjQxMGZlODRlYTg3NGE5YzI5YzJlNmRlMGM0ODY6MTcyMzY2OTEwMw==,https://www.virustotal.com/gui/file/0638621a9e3688ed8f740ac2e51db7095c224d4610e471bc39a52d4c3a343b86
lmillionzz/Adobe-Acrobat,K7AntiVirus,Unwanted-Program ( 0057ac0f1 ),MDAyZjQxMGZlODRlYTg3NGE5YzI5YzJlNmRlMGM0ODY6MTcyMzY2OTEwMw==,https://www.virustotal.com/gui/file/0638621a9e3688ed8f740ac2e51db7095c224d4610e471bc39a52d4c3a343b86
lmillionzz/Adobe-Acrobat,K7GW,Unwanted-Program ( 0057ac0f1 ),MDAyZjQxMGZlODRlYTg3NGE5YzI5YzJlNmRlMGM0ODY6MTcyMzY2OTEwMw==,https://www.virustotal.com/gui/file/0638621a9e3688ed8f740ac2e51db7095c224d4610e471bc39a52d4c3a343b86
lmillionzz/Adobe-Acrobat,ESET-NOD32,multiple detections,MDAyZjQxMGZlODRlYTg3NGE5YzI5YzJlNmRlMGM0ODY6MTcyMzY2OTEwMw==,https://www.virustotal.com/gui/file/0638621a9e3688ed8f740ac2e51db7095c224d4610e471bc39a52d4c3a343b86
lmillionzz/Adobe-Acrobat,BitDefender,Application.Hacktool.ASP,MDAyZjQxMGZlODRlYTg3NGE5YzI5YzJlNmRlMGM0ODY6MTcyMzY2OTEwMw==,https://www.virustotal.com/gui/file/0638621a9e3688ed8f740ac2e51db7095c224d4610e471bc39a52d4c3a343b86
lmillionzz/Adobe-Acrobat,Sophos,Generic Reputation PUA (PUA),MDAyZjQxMGZlODRlYTg3NGE5YzI5YzJlNmRlMGM0ODY6MTcyMzY2OTEwMw==,https://www.virustotal.com/gui/file/0638621a9e3688ed8f740ac2e51db7095c224d4610e471bc39a52d4c3a343b86
lmillionzz/Adobe-Acrobat,VIPRE,Application.Hacktool.ASP,MDAyZjQxMGZlODRlYTg3NGE5YzI5YzJlNmRlMGM0ODY6MTcyMzY2OTEwMw==,https://www.virustotal.com/gui/file/0638621a9e3688ed8f740ac2e51db7095c224d4610e471bc39a52d4c3a343b86
lmillionzz/Adobe-Acrobat,Emsisoft,Application.Hacktool.ASP (B),MDAyZjQxMGZlODRlYTg3NGE5YzI5YzJlNmRlMGM0ODY6MTcyMzY2OTEwMw==,https://www.virustotal.com/gui/file/0638621a9e3688ed8f740ac2e51db7095c224d4610e471bc39a52d4c3a343b86
lmillionzz/Adobe-Acrobat,Ikarus,PUA.RiskWare.Hacktool,MDAyZjQxMGZlODRlYTg3NGE5YzI5YzJlNmRlMGM0ODY6MTcyMzY2OTEwMw==,https://www.virustotal.com/gui/file/0638621a9e3688ed8f740ac2e51db7095c224d4610e471bc39a52d4c3a343b86
lmillionzz/Adobe-Acrobat,Varist,W64/ABApplication.ZSNR-3388,MDAyZjQxMGZlODRlYTg3NGE5YzI5YzJlNmRlMGM0ODY6MTcyMzY2OTEwMw==,https://www.virustotal.com/gui/file/0638621a9e3688ed8f740ac2e51db7095c224d4610e471bc39a52d4c3a343b86
lmillionzz/Adobe-Acrobat,Antiy-AVL,Trojan/Win64.Generic,MDAyZjQxMGZlODRlYTg3NGE5YzI5YzJlNmRlMGM0ODY6MTcyMzY2OTEwMw==,https://www.virustotal.com/gui/file/0638621a9e3688ed8f740ac2e51db7095c224d4610e471bc39a52d4c3a343b86
lmillionzz/Adobe-Acrobat,Arcabit,Application.Hacktool.ASP,MDAyZjQxMGZlODRlYTg3NGE5YzI5YzJlNmRlMGM0ODY6MTcyMzY2OTEwMw==,https://www.virustotal.com/gui/file/0638621a9e3688ed8f740ac2e51db7095c224d4610e471bc39a52d4c3a343b86
lmillionzz/Adobe-Acrobat,GData,Application.Hacktool.ASP,MDAyZjQxMGZlODRlYTg3NGE5YzI5YzJlNmRlMGM0ODY6MTcyMzY2OTEwMw==,https://www.virustotal.com/gui/file/0638621a9e3688ed8f740ac2e51db7095c224d4610e471bc39a52d4c3a343b86
lmillionzz/Adobe-Acrobat,Google,Detected,MDAyZjQxMGZlODRlYTg3NGE5YzI5YzJlNmRlMGM0ODY6MTcyMzY2OTEwMw==,https://www.virustotal.com/gui/file/0638621a9e3688ed8f740ac2e51db7095c224d4610e471bc39a52d4c3a343b86
lmillionzz/Adobe-Acrobat,McAfee,Artemis!96756DEAFF1B,MDAyZjQxMGZlODRlYTg3NGE5YzI5YzJlNmRlMGM0ODY6MTcyMzY2OTEwMw==,https://www.virustotal.com/gui/file/0638621a9e3688ed8f740ac2e51db7095c224d4610e471bc39a52d4c3a343b86
lmillionzz/Adobe-Acrobat,MAX,malware (ai score=87),MDAyZjQxMGZlODRlYTg3NGE5YzI5YzJlNmRlMGM0ODY6MTcyMzY2OTEwMw==,https://www.virustotal.com/gui/file/0638621a9e3688ed8f740ac2e51db7095c224d4610e471bc39a52d4c3a343b86
lmillionzz/Adobe-Acrobat,Rising,Hacktool.Agent!8.335 (CLOUD),MDAyZjQxMGZlODRlYTg3NGE5YzI5YzJlNmRlMGM0ODY6MTcyMzY2OTEwMw==,https://www.virustotal.com/gui/file/0638621a9e3688ed8f740ac2e51db7095c224d4610e471bc39a52d4c3a343b86
lmillionzz/Adobe-Acrobat,Yandex,Riskware.HackTool!PjKgFXh9dp8,MDAyZjQxMGZlODRlYTg3NGE5YzI5YzJlNmRlMGM0ODY6MTcyMzY2OTEwMw==,https://www.virustotal.com/gui/file/0638621a9e3688ed8f740ac2e51db7095c224d4610e471bc39a52d4c3a343b86
fashbestplays98/Citizens_Conflict_free_token,Kaspersky,not-a-virus:HEUR:RiskTool.Script.BitMiner.gen,NmM2ZGI4YWRlOTlhYzlmYmZhYmFmNTg2MjZlOGE4NDE6MTcyMzY3MTgwOQ==,https://www.virustotal.com/gui/file/5f5f81619b4cebbcfa9360dcc3bce57056d44324a5c42abbe3e0e733f0ee263b
fashbestplays98/Citizens_Conflict_free_token,Sophos,Coinminer Config (PUA),NmM2ZGI4YWRlOTlhYzlmYmZhYmFmNTg2MjZlOGE4NDE6MTcyMzY3MTgwOQ==,https://www.virustotal.com/gui/file/5f5f81619b4cebbcfa9360dcc3bce57056d44324a5c42abbe3e0e733f0ee263b
fashbestplays98/Citizens_Conflict_free_token,Xcitium,Application.Script.BitMiner.A@7xk8f5,NmM2ZGI4YWRlOTlhYzlmYmZhYmFmNTg2MjZlOGE4NDE6MTcyMzY3MTgwOQ==,https://www.virustotal.com/gui/file/5f5f81619b4cebbcfa9360dcc3bce57056d44324a5c42abbe3e0e733f0ee263b
fashbestplays98/Citizens_Conflict_free_token,ZoneAlarm,not-a-virus:HEUR:RiskTool.Script.BitMiner.gen,NmM2ZGI4YWRlOTlhYzlmYmZhYmFmNTg2MjZlOGE4NDE6MTcyMzY3MTgwOQ==,https://www.virustotal.com/gui/file/5f5f81619b4cebbcfa9360dcc3bce57056d44324a5c42abbe3e0e733f0ee263b
3kh0/spoof-hwid,MicroWorld-eScan,Generic.HTML.Phishing.Q.01771430,ZmU3OGNlNTUxYTg3MzhlYmQ2MTEwMjE1NDc3YTQ5MzA6MTcyMzY4NzQ1MA==,https://www.virustotal.com/gui/file/6e0d1610d84999508374417c06c27e6eb626e0f2041a58e7ff6254e33dd94c96
3kh0/spoof-hwid,VIPRE,Generic.HTML.Phishing.Q.01771430,ZmU3OGNlNTUxYTg3MzhlYmQ2MTEwMjE1NDc3YTQ5MzA6MTcyMzY4NzQ1MA==,https://www.virustotal.com/gui/file/6e0d1610d84999508374417c06c27e6eb626e0f2041a58e7ff6254e33dd94c96
3kh0/spoof-hwid,BitDefender,Generic.HTML.Phishing.Q.01771430,ZmU3OGNlNTUxYTg3MzhlYmQ2MTEwMjE1NDc3YTQ5MzA6MTcyMzY4NzQ1MA==,https://www.virustotal.com/gui/file/6e0d1610d84999508374417c06c27e6eb626e0f2041a58e7ff6254e33dd94c96
3kh0/spoof-hwid,Emsisoft,Generic.HTML.Phishing.Q.01771430 (B),ZmU3OGNlNTUxYTg3MzhlYmQ2MTEwMjE1NDc3YTQ5MzA6MTcyMzY4NzQ1MA==,https://www.virustotal.com/gui/file/6e0d1610d84999508374417c06c27e6eb626e0f2041a58e7ff6254e33dd94c96
3kh0/spoof-hwid,FireEye,Generic.HTML.Phishing.Q.01771430,ZmU3OGNlNTUxYTg3MzhlYmQ2MTEwMjE1NDc3YTQ5MzA6MTcyMzY4NzQ1MA==,https://www.virustotal.com/gui/file/6e0d1610d84999508374417c06c27e6eb626e0f2041a58e7ff6254e33dd94c96
3kh0/spoof-hwid,MAX,malware (ai score=84),ZmU3OGNlNTUxYTg3MzhlYmQ2MTEwMjE1NDc3YTQ5MzA6MTcyMzY4NzQ1MA==,https://www.virustotal.com/gui/file/6e0d1610d84999508374417c06c27e6eb626e0f2041a58e7ff6254e33dd94c96
3kh0/spoof-hwid,Arcabit,Generic.HTML.Phishing.Q.D1B07A6,ZmU3OGNlNTUxYTg3MzhlYmQ2MTEwMjE1NDc3YTQ5MzA6MTcyMzY4NzQ1MA==,https://www.virustotal.com/gui/file/6e0d1610d84999508374417c06c27e6eb626e0f2041a58e7ff6254e33dd94c96
3kh0/spoof-hwid,GData,Generic.HTML.Phishing.Q.01771430,ZmU3OGNlNTUxYTg3MzhlYmQ2MTEwMjE1NDc3YTQ5MzA6MTcyMzY4NzQ1MA==,https://www.virustotal.com/gui/file/6e0d1610d84999508374417c06c27e6eb626e0f2041a58e7ff6254e33dd94c96
3kh0/spoof-hwid,ALYac,Generic.HTML.Phishing.Q.01771430,ZmU3OGNlNTUxYTg3MzhlYmQ2MTEwMjE1NDc3YTQ5MzA6MTcyMzY4NzQ1MA==,https://www.virustotal.com/gui/file/6e0d1610d84999508374417c06c27e6eb626e0f2041a58e7ff6254e33dd94c96
Valdemar-Neto/Projetos,Ikarus,Trojan.Win64.Reverseshell,NTNjOWNjNTVmNmYxNjg4ZDBmMzU5N2NkYTc5YmZjZjU6MTcyMzY5NzY4Mg==,https://www.virustotal.com/gui/file/50ec71041264ef3248c39c3f5b5018ced025d2712aa4acfcaff0e46c86a157e9
Valdemar-Neto/Projetos,Google,Detected,NTNjOWNjNTVmNmYxNjg4ZDBmMzU5N2NkYTc5YmZjZjU6MTcyMzY5NzY4Mg==,https://www.virustotal.com/gui/file/50ec71041264ef3248c39c3f5b5018ced025d2712aa4acfcaff0e46c86a157e9
Vardhannn/AndroidStudioProjects,Ikarus,Trojan-Spy.AndroidOS.SMSSpy,YzFmNDk0OTA0YjQ2NTM5ODNiYmM4YjA1YWVjZDNjMzM6MTcyMzcxMDAyMw==,https://www.virustotal.com/gui/file/75086f4ba2602ee36872a1e14e13d0021e9c24b88ba70fccced680ac357974d8
b815747Y/FORTNITEBLACKi,Lionic,Trojan.Win32.Cerber.4!c,MmRmYzYxOThlYzFhMWE5OTg5NTJmZjZhOThhZDJmZmE6MTcyMzcxNDg0MA==,https://www.virustotal.com/gui/file/645b737e108decda620ff6dca9f683b12a2fed4d343f335e467713e916fee8f8
b815747Y/FORTNITEBLACKi,MicroWorld-eScan,Gen:Variant.Tedy.604571,MmRmYzYxOThlYzFhMWE5OTg5NTJmZjZhOThhZDJmZmE6MTcyMzcxNDg0MA==,https://www.virustotal.com/gui/file/645b737e108decda620ff6dca9f683b12a2fed4d343f335e467713e916fee8f8
b815747Y/FORTNITEBLACKi,VIPRE,Gen:Variant.Tedy.604571,MmRmYzYxOThlYzFhMWE5OTg5NTJmZjZhOThhZDJmZmE6MTcyMzcxNDg0MA==,https://www.virustotal.com/gui/file/645b737e108decda620ff6dca9f683b12a2fed4d343f335e467713e916fee8f8
b815747Y/FORTNITEBLACKi,Sangfor,Downloader.Win32.Agent.Vssd,MmRmYzYxOThlYzFhMWE5OTg5NTJmZjZhOThhZDJmZmE6MTcyMzcxNDg0MA==,https://www.virustotal.com/gui/file/645b737e108decda620ff6dca9f683b12a2fed4d343f335e467713e916fee8f8
