github,total_stars,fake_stars,fake_percentage
etherspot/etherspot-sdk,365,94,25.753424657534246
Joystream/joystream,1424,283,19.873595505617978
serverless-stack/sst,20993,2909,13.856999952365074
sst/sst,20976,2905,13.849160945842867
tatumio/tatum-js,353,42,11.89801699716714
hydro-dev/Hydro,3211,324,10.09031454375584
subquery/subql,19121,1729,9.042414099680979
streamr-dev/network-monorepo,573,51,8.900523560209423
streamr-dev/network,573,51,8.900523560209423
martinkr/next-export-i18n,240,18,7.5
MirrorCY/rryth,135,10,7.4074074074074066
navikt/aksel,150,10,6.666666666666667
navikt/nav-frontend-moduler,150,10,6.666666666666667
shesha-io/shesha-framework,327,20,6.116207951070336
adaptyteam/AdaptySDK-React-Native,120,7,5.833333333333333
weavedb/weavedb,195,11,5.641025641025641
reach-sh/reach-lang,587,30,5.110732538330494
holochain/holochain-client-js,257,13,5.058365758754864
replicate/replicate-javascript,435,22,5.057471264367816
homebridge-eufy-security/plugin,156,7,4.487179487179487
freearhey/iptv-playlist-parser,121,5,4.132231404958678
worldwide-asset-exchange/waxjs,127,5,3.937007874015748
codigoencasa/bot-whatsapp,2180,85,3.89908256880734
SamPandey001/Secktor-Md,394,15,3.807106598984772
bwp91/homebridge-govee,434,16,3.686635944700461
BlackAmda/QueenAmdi,380,12,3.1578947368421053
thx/gogocode,5339,160,2.9968158831241807
aptos-labs/aptos-core,5893,176,2.9865942643814694
Bitcoin-ABC/bitcoin-abc,1238,35,2.827140549273021
sumithemmadi/truecallerjs,465,13,2.795698924731183
titaniumnetwork-dev/Ultraviolet,440,12,2.727272727272727
Shopify/cli,374,10,2.6737967914438503
fluid-player/fluid-player,791,19,2.402022756005057
esbanarango/ember-model-validator,167,4,2.3952095808383236
originjs/origin.js,126,3,2.380952380952381
mystenlabs/sui,5842,129,2.208147894556659
paraswap/paraswap-sdk,683,14,2.049780380673499
clappr/clappr,7006,143,2.0411076220382527
Shopify/theme-scripts,505,10,1.9801980198019802
bitcoinjs/bip38,205,4,1.951219512195122
ethereum/remix-plugin,156,3,1.9230769230769231
actions-on-google/assistant-conversation-nodejs,104,2,1.9230769230769231
Microsoft/PowerBI-visuals-tools,315,6,1.9047619047619049
decentraland/decentraland-dapps,106,2,1.8867924528301887
worldcoin/idkit-js,267,5,1.8726591760299627
croct-tech/plug-js,108,2,1.8518518518518516
chengpeiquan/vue-picture-cropper,109,2,1.834862385321101
osmlab/name-suggestion-index,665,12,1.8045112781954888
hardisgroupcom/sfdx-hardis,168,3,1.7857142857142856
salesforce/eslint-config-lwc,112,2,1.7857142857142856
mrbungle64/ecovacs-deebot.js,113,2,1.7699115044247788
alan-ai/alan-sdk-web,2397,42,1.7521902377972465
mempool/mempool.js,172,3,1.744186046511628
open-telemetry/opentelemetry-js-contrib,636,11,1.729559748427673
paraswap/paraswap-dex-lib,727,12,1.6506189821182942
WasiqB/multiple-cucumber-html-reporter,243,4,1.646090534979424
trvswgnr/bs5-lightbox,123,2,1.6260162601626018
conductor-is/conductor-node,187,3,1.6042780748663104
grzegorz914/homebridge-lgwebos-tv,127,2,1.574803149606299
solana-labs/token-list,1444,22,1.5235457063711912
starknet-io/starknet.js,1202,18,1.497504159733777
polkadot-js/extension,963,14,1.453790238836968
VKCOM/VKUI,982,14,1.4256619144602851
roblox-ts/roblox-ts,855,12,1.4035087719298245
smartcontractkit/chainlink,6843,94,1.3736665205319303
